ID,HIST1H4I,HIST1H4E,HIST1H4J,HIST1H4H,HIST1H4C,HIST2H4B,HIST1H4F,HIST1H4K,HIST1H2BJ,HIST1H2BB,lable
GSM6149886_BT0001_20051014_U133Plus2.CEL.gz,4.909987953,4.909987953,4.909987953,4.909987953,4.909987953,4.909987953,4.909987953,4.909987953,8.124886967,5.343729855,1
GSM6149887_BT0004_20051014_U133Plus2.CEL.gz,4.854624674,4.854624674,4.854624674,4.854624674,4.854624674,4.854624674,4.854624674,4.854624674,5.819115557,5.221550021,1
GSM6149888_BT0005_20051014_U133Plus2.CEL.gz,5.061030819,5.061030819,5.061030819,5.061030819,5.061030819,5.061030819,5.061030819,5.061030819,6.158845665,5.037763176,1
GSM6149889_BT0007_20051015_U133Plus2.CEL.gz,4.775227352,4.775227352,4.775227352,4.775227352,4.775227352,4.775227352,4.775227352,4.775227352,5.847317543,4.94678621,1
GSM6149890_BT0014_20051015_U133Plus2.CEL.gz,4.896365412,4.896365412,4.896365412,4.896365412,4.896365412,4.896365412,4.896365412,4.896365412,5.76330292,4.822156797,1
GSM6149891_CTL0724_20051118_U133Plus2.CEL.gz,4.872245114,4.872245114,4.872245114,4.872245114,4.872245114,4.872245114,4.872245114,4.872245114,5.997129256,5.754971235,1
GSM6149892_CTL0912_20050706_U133Plus2.CEL.gz,4.681373469,4.681373469,4.681373469,4.681373469,4.681373469,4.681373469,4.681373469,4.681373469,6.456861782,5.15627746,1
GSM6149893_CTL231_20040615_U133Plus2.CEL.gz,5.100759603,5.100759603,5.100759603,5.100759603,5.100759603,5.100759603,5.100759603,5.100759603,7.335682744,5.441742703,1
GSM6149894_CTL253_20040615_U133Plus2.CEL.gz,5.09098842,5.09098842,5.09098842,5.09098842,5.09098842,5.09098842,5.09098842,5.09098842,6.667639728,5.189664851,1
GSM6149895_CTL386_20040615_U133Plus2.CEL.gz,5.041718862,5.041718862,5.041718862,5.041718862,5.041718862,5.041718862,5.041718862,5.041718862,6.273097273,5.182381087,1
GSM6149896_LE0001_20080717_U133Plus2.CEL.gz,4.697867468,4.697867468,4.697867468,4.697867468,4.697867468,4.697867468,4.697867468,4.697867468,6.014524699,5.060107944,1
GSM6149898_LE0003_20080710_U133Plus2.CEL.gz,4.81944748,4.81944748,4.81944748,4.81944748,4.81944748,4.81944748,4.81944748,4.81944748,6.084302081,5.153111145,1
GSM6149899_LE0005_20080709_U133Plus2.CEL.gz,4.860568602,4.860568602,4.860568602,4.860568602,4.860568602,4.860568602,4.860568602,4.860568602,6.345659602,5.314491432,1
GSM6149900_LE0007_20080710_U133Plus2.CEL.gz,4.526625863,4.526625863,4.526625863,4.526625863,4.526625863,4.526625863,4.526625863,4.526625863,6.252077318,5.250781411,1
GSM6149901_LE0008_20080708_U133Plus2.CEL.gz,4.845001105,4.845001105,4.845001105,4.845001105,4.845001105,4.845001105,4.845001105,4.845001105,6.291557153,5.212799556,1
GSM6149902_LE0010_20080711_U133Plus2.CEL.gz,4.733732393,4.733732393,4.733732393,4.733732393,4.733732393,4.733732393,4.733732393,4.733732393,5.999585441,4.910756046,1
GSM6149903_LE0011_20080708_U133Plus2.CEL.gz,4.783881061,4.783881061,4.783881061,4.783881061,4.783881061,4.783881061,4.783881061,4.783881061,5.942323557,5.08953342,1
GSM6149904_LE0012_20080715_U133Plus2.CEL.gz,4.558055594,4.558055594,4.558055594,4.558055594,4.558055594,4.558055594,4.558055594,4.558055594,5.916003517,5.108909449,1
GSM6149905_LE0013_20080715_U133Plus2.CEL.gz,4.667533355,4.667533355,4.667533355,4.667533355,4.667533355,4.667533355,4.667533355,4.667533355,6.626402658,5.320982608,1
GSM6149906_PN0046_20051118_U133Plus2.CEL.gz,4.954449656,4.954449656,4.954449656,4.954449656,4.954449656,4.954449656,4.954449656,4.954449656,5.942388531,5.084532103,1
GSM6149907_PN0050_20051118_U133Plus2.CEL.gz,4.892012608,4.892012608,4.892012608,4.892012608,4.892012608,4.892012608,4.892012608,4.892012608,6.309693294,5.229322433,1
GSM6149908_PN0051_20051118_U133Plus2.CEL.gz,4.872566045,4.872566045,4.872566045,4.872566045,4.872566045,4.872566045,4.872566045,4.872566045,5.79922587,5.072976532,1
GSM6149909_PN0053_20051118_U133Plus2.CEL.gz,5.104314562,5.104314562,5.104314562,5.104314562,5.104314562,5.104314562,5.104314562,5.104314562,5.697666968,4.887564901,1
GSM6149910_PN0054_20051118_U133Plus2.CEL.gz,4.931254827,4.931254827,4.931254827,4.931254827,4.931254827,4.931254827,4.931254827,4.931254827,5.754685779,4.989407726,1
GSM6149911_PN0055_20051118_U133Plus2.CEL.gz,4.931853212,4.931853212,4.931853212,4.931853212,4.931853212,4.931853212,4.931853212,4.931853212,5.501255238,4.903719873,1
